volume	chapter_code	chapter_title	status	legacy_source_status	mapped_rule_count	canonical_path	next_action
II	II/14	Trigonometric Series	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol02_real_analysis/chapters/ch14_trigonometric_series/chapter.tex	MAP_AND_REWRITE
II	II/15	Pathological and Nowhere-Differentiable Functions	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol02_real_analysis/chapters/ch15_pathological_and_nowhere_differentiable_functions/chapter.tex	MAP_AND_REWRITE
II	II/16	Contraction Mappings	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol02_real_analysis/chapters/ch16_contraction_mappings/chapter.tex	MAP_AND_REWRITE
II	II/17	Brouwer-Type Fixed-Point Ideas	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol02_real_analysis/chapters/ch17_brouwer_type_fixed_point_ideas/chapter.tex	MAP_AND_REWRITE
II	II/18	Integral Equations	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol02_real_analysis/chapters/ch18_integral_equations/chapter.tex	MAP_AND_REWRITE
II	II/19	Elementary Existence Theory for ODEs	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol02_real_analysis/chapters/ch19_elementary_existence_theory_for_odes/chapter.tex	MAP_AND_REWRITE
II	II/20	Polynomial Interpolation	PLANNED	LEGACY_SOURCE_IDENTIFIED	16	books/vol02_real_analysis/chapters/ch20_polynomial_interpolation/chapter.tex	MAP_AND_REWRITE
II	II/21	Polynomial Approximation	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol02_real_analysis/chapters/ch21_polynomial_approximation/chapter.tex	MAP_AND_REWRITE
II	II/22	Chebyshev and Minimax Approximation	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol02_real_analysis/chapters/ch22_chebyshev_and_minimax_approximation/chapter.tex	MAP_AND_REWRITE
II	II/23	The Alternation Principle	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol02_real_analysis/chapters/ch23_the_alternation_principle/chapter.tex	MAP_AND_REWRITE
II	II/24	Numerical Quadrature	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol02_real_analysis/chapters/ch24_numerical_quadrature/chapter.tex	MAP_AND_REWRITE
II	II/25	Continued Fractions and Approximation Topics	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol02_real_analysis/chapters/ch25_continued_fractions_and_approximation_topics/chapter.tex	MAP_AND_REWRITE
III	III/01	Sigma-Algebras and Measures	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol03_fourier_distributions_pde/chapters/ch01_sigma_algebras_and_measures/chapter.tex	MAP_AND_REWRITE
III	III/02	Measurable Functions	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch02_measurable_functions/chapter.tex	MAP_AND_REWRITE
III	III/03	The Lebesgue Integral	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch03_the_lebesgue_integral/chapter.tex	MAP_AND_REWRITE
III	III/04	Convergence Theorems	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch04_convergence_theorems/chapter.tex	MAP_AND_REWRITE
III	III/05	Product Measures and Fubini Theory	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch05_product_measures_and_fubini_theory/chapter.tex	MAP_AND_REWRITE
III	III/06	Lp Spaces	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch06_lp_spaces/chapter.tex	MAP_AND_REWRITE
III	III/07	Hölder, Minkowski and Interpolation	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch07_h_lder_minkowski_and_interpolation/chapter.tex	MAP_AND_REWRITE
III	III/08	Egorov, Vitali and Weak-Lp Ideas	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch08_egorov_vitali_and_weak_lp_ideas/chapter.tex	MAP_AND_REWRITE
III	III/09	Fourier Series	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol03_fourier_distributions_pde/chapters/ch09_fourier_series/chapter.tex	MAP_AND_REWRITE
III	III/10	Convolution and Approximate Identities	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch10_convolution_and_approximate_identities/chapter.tex	MAP_AND_REWRITE
III	III/11	The Fourier Transform	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol03_fourier_distributions_pde/chapters/ch11_the_fourier_transform/chapter.tex	MAP_AND_REWRITE
III	III/12	The Gaussian and Transform Calculus	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch12_the_gaussian_and_transform_calculus/chapter.tex	MAP_AND_REWRITE
III	III/13	Plancherel and L2 Fourier Theory	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol03_fourier_distributions_pde/chapters/ch13_plancherel_and_l2_fourier_theory/chapter.tex	MAP_AND_REWRITE
III	III/14	The Schwartz Space	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch14_the_schwartz_space/chapter.tex	MAP_AND_REWRITE
III	III/15	Test-Function Spaces	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol03_fourier_distributions_pde/chapters/ch15_test_function_spaces/chapter.tex	MAP_AND_REWRITE
III	III/16	Distributions and Distributional Derivatives	PLANNED	LEGACY_SOURCE_IDENTIFIED	10	books/vol03_fourier_distributions_pde/chapters/ch16_distributions_and_distributional_derivatives/chapter.tex	MAP_AND_REWRITE
III	III/17	Support and Singular Distributions	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch17_support_and_singular_distributions/chapter.tex	MAP_AND_REWRITE
III	III/18	Tempered Distributions	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol03_fourier_distributions_pde/chapters/ch18_tempered_distributions/chapter.tex	MAP_AND_REWRITE
III	III/19	Fourier Transform of Distributions	PLANNED	LEGACY_SOURCE_IDENTIFIED	9	books/vol03_fourier_distributions_pde/chapters/ch19_fourier_transform_of_distributions/chapter.tex	MAP_AND_REWRITE
III	III/20	Weak Derivatives	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch20_weak_derivatives/chapter.tex	MAP_AND_REWRITE
III	III/21	Sobolev Spaces	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol03_fourier_distributions_pde/chapters/ch21_sobolev_spaces/chapter.tex	MAP_AND_REWRITE
III	III/22	Approximation and Density	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch22_approximation_and_density/chapter.tex	MAP_AND_REWRITE
III	III/23	Weak Boundary-Value Problems	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch23_weak_boundary_value_problems/chapter.tex	MAP_AND_REWRITE
III	III/24	Fundamental Solutions	PLANNED	LEGACY_SOURCE_IDENTIFIED	9	books/vol03_fourier_distributions_pde/chapters/ch24_fundamental_solutions/chapter.tex	MAP_AND_REWRITE
III	III/25	Green Functions	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol03_fourier_distributions_pde/chapters/ch25_green_functions/chapter.tex	MAP_AND_REWRITE
III	III/26	Sturm–Liouville Green Kernels	PLANNED	LEGACY_SOURCE_IDENTIFIED	5	books/vol03_fourier_distributions_pde/chapters/ch26_sturm_liouville_green_kernels/chapter.tex	MAP_AND_REWRITE
III	III/27	Elliptic Operators and Maximum Principles	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol03_fourier_distributions_pde/chapters/ch27_elliptic_operators_and_maximum_principles/chapter.tex	MAP_AND_REWRITE
III	III/28	Spectral and Transform Methods for PDE	PLANNED	LEGACY_SOURCE_IDENTIFIED	9	books/vol03_fourier_distributions_pde/chapters/ch28_spectral_and_transform_methods_for_pde/chapter.tex	MAP_AND_REWRITE
IV	IV/01	Complex Differentiability	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	MAP_AND_REWRITE
IV	IV/02	Cauchy–Riemann Equations	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch02_cauchy_riemann_equations/chapter.tex	MAP_AND_REWRITE
IV	IV/03	Power Series and Analytic Functions	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol04_complex_analysis/chapters/ch03_power_series_and_analytic_functions/chapter.tex	MAP_AND_REWRITE
IV	IV/04	Complex Integration	PLANNED	LEGACY_SOURCE_IDENTIFIED	27	books/vol04_complex_analysis/chapters/ch04_complex_integration/chapter.tex	MAP_AND_REWRITE
IV	IV/05	Cauchy's Theorem	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol04_complex_analysis/chapters/ch05_cauchy_s_theorem/chapter.tex	MAP_AND_REWRITE
IV	IV/06	Cauchy's Integral Formula	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch06_cauchy_s_integral_formula/chapter.tex	MAP_AND_REWRITE
IV	IV/07	Zeros and the Identity Theorem	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol04_complex_analysis/chapters/ch07_zeros_and_the_identity_theorem/chapter.tex	MAP_AND_REWRITE
IV	IV/08	Laurent Series	PLANNED	LEGACY_SOURCE_IDENTIFIED	18	books/vol04_complex_analysis/chapters/ch08_laurent_series/chapter.tex	MAP_AND_REWRITE
IV	IV/09	Isolated Singularities	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol04_complex_analysis/chapters/ch09_isolated_singularities/chapter.tex	MAP_AND_REWRITE
IV	IV/10	Residues and the Residue Theorem	PLANNED	LEGACY_SOURCE_IDENTIFIED	12	books/vol04_complex_analysis/chapters/ch10_residues_and_the_residue_theorem/chapter.tex	MAP_AND_REWRITE
IV	IV/11	Evaluation of Real Integrals	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch11_evaluation_of_real_integrals/chapter.tex	MAP_AND_REWRITE
IV	IV/12	Winding Numbers and the Argument Principle	PLANNED	LEGACY_SOURCE_IDENTIFIED	22	books/vol04_complex_analysis/chapters/ch12_winding_numbers_and_the_argument_principle/chapter.tex	MAP_AND_REWRITE
IV	IV/13	Rouché's Theorem	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch13_rouch_s_theorem/chapter.tex	MAP_AND_REWRITE
IV	IV/14	Branches of the Logarithm and Roots	PLANNED	LEGACY_SOURCE_IDENTIFIED	10	books/vol04_complex_analysis/chapters/ch14_branches_of_the_logarithm_and_roots/chapter.tex	MAP_AND_REWRITE
IV	IV/15	Analytic Continuation	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol04_complex_analysis/chapters/ch15_analytic_continuation/chapter.tex	MAP_AND_REWRITE
IV	IV/16	Möbius Transformations	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol04_complex_analysis/chapters/ch16_m_bius_transformations/chapter.tex	MAP_AND_REWRITE
IV	IV/17	Conformal Mapping	PLANNED	LEGACY_SOURCE_IDENTIFIED	15	books/vol04_complex_analysis/chapters/ch17_conformal_mapping/chapter.tex	MAP_AND_REWRITE
IV	IV/18	Schwarz–Christoffel Transformations	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch18_schwarz_christoffel_transformations/chapter.tex	MAP_AND_REWRITE
IV	IV/19	The Gamma Function	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol04_complex_analysis/chapters/ch19_the_gamma_function/chapter.tex	MAP_AND_REWRITE
IV	IV/20	Beta and Gamma Identities	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch20_beta_and_gamma_identities/chapter.tex	MAP_AND_REWRITE
IV	IV/21	Keyhole Contours and Branch-Cut Integrals	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch21_keyhole_contours_and_branch_cut_integrals/chapter.tex	MAP_AND_REWRITE
IV	IV/22	From Analytic Continuation to Riemann Surfaces	PLANNED	LEGACY_SOURCE_IDENTIFIED	9	books/vol04_complex_analysis/chapters/ch22_from_analytic_continuation_to_riemann_surfaces/chapter.tex	MAP_AND_REWRITE
IV	IV/23	Covering Maps and Monodromy	PLANNED	LEGACY_SOURCE_IDENTIFIED	8	books/vol04_complex_analysis/chapters/ch23_covering_maps_and_monodromy/chapter.tex	MAP_AND_REWRITE
IV	IV/24	Branched Coverings	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol04_complex_analysis/chapters/ch24_branched_coverings/chapter.tex	MAP_AND_REWRITE
IV	IV/25	Construction by Gluing	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol04_complex_analysis/chapters/ch25_construction_by_gluing/chapter.tex	MAP_AND_REWRITE
IV	IV/26	Compactification and Genus	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol04_complex_analysis/chapters/ch26_compactification_and_genus/chapter.tex	MAP_AND_REWRITE
IV	IV/27	Lattices and Complex Tori	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol04_complex_analysis/chapters/ch27_lattices_and_complex_tori/chapter.tex	MAP_AND_REWRITE
IV	IV/28	Elliptic Functions	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol04_complex_analysis/chapters/ch28_elliptic_functions/chapter.tex	MAP_AND_REWRITE
IV	IV/29	The Weierstrass ℘-Function	PLANNED	LEGACY_SOURCE_IDENTIFIED	9	books/vol04_complex_analysis/chapters/ch29_the_weierstrass_function/chapter.tex	MAP_AND_REWRITE
IV	IV/30	Addition Formulas	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol04_complex_analysis/chapters/ch30_addition_formulas/chapter.tex	MAP_AND_REWRITE
IV	IV/31	Elliptic Curves as Riemann Surfaces	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol04_complex_analysis/chapters/ch31_elliptic_curves_as_riemann_surfaces/chapter.tex	MAP_AND_REWRITE
V	V/01	Rings, Ideals and Quotients	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch01_rings_ideals_and_quotients/chapter.tex	MAP_AND_REWRITE
V	V/02	Prime and Maximal Ideals	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch02_prime_and_maximal_ideals/chapter.tex	MAP_AND_REWRITE
V	V/03	Radicals and Nilpotents	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch03_radicals_and_nilpotents/chapter.tex	MAP_AND_REWRITE
V	V/04	Chinese Remainder Theory	PLANNED	LEGACY_SOURCE_IDENTIFIED	10	books/vol05_commutative_algebra/chapters/ch04_chinese_remainder_theory/chapter.tex	MAP_AND_REWRITE
V	V/05	Multiplicative Systems	PLANNED	LEGACY_SOURCE_IDENTIFIED	5	books/vol05_commutative_algebra/chapters/ch05_multiplicative_systems/chapter.tex	MAP_AND_REWRITE
V	V/06	Localization of Rings	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch06_localization_of_rings/chapter.tex	MAP_AND_REWRITE
V	V/07	Localization of Modules	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol05_commutative_algebra/chapters/ch07_localization_of_modules/chapter.tex	MAP_AND_REWRITE
V	V/08	Local Rings and Localization at Primes	PLANNED	LEGACY_SOURCE_IDENTIFIED	12	books/vol05_commutative_algebra/chapters/ch08_local_rings_and_localization_at_primes/chapter.tex	MAP_AND_REWRITE
V	V/09	Modules and Exact Sequences	PLANNED	LEGACY_SOURCE_IDENTIFIED	8	books/vol05_commutative_algebra/chapters/ch09_modules_and_exact_sequences/chapter.tex	MAP_AND_REWRITE
V	V/10	Tensor Products	PLANNED	LEGACY_SOURCE_IDENTIFIED	17	books/vol05_commutative_algebra/chapters/ch10_tensor_products/chapter.tex	MAP_AND_REWRITE
V	V/11	Quotients and Base Change	PLANNED	LEGACY_SOURCE_IDENTIFIED	9	books/vol05_commutative_algebra/chapters/ch11_quotients_and_base_change/chapter.tex	MAP_AND_REWRITE
V	V/12	Hom and Finitely Presented Modules	PLANNED	LEGACY_SOURCE_IDENTIFIED	21	books/vol05_commutative_algebra/chapters/ch12_hom_and_finitely_presented_modules/chapter.tex	MAP_AND_REWRITE
V	V/13	Free and Projective Modules	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch13_free_and_projective_modules/chapter.tex	MAP_AND_REWRITE
V	V/14	Flat Modules	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol05_commutative_algebra/chapters/ch14_flat_modules/chapter.tex	MAP_AND_REWRITE
V	V/15	Noetherian Rings and Modules	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol05_commutative_algebra/chapters/ch15_noetherian_rings_and_modules/chapter.tex	MAP_AND_REWRITE
V	V/16	Support	PLANNED	LEGACY_SOURCE_IDENTIFIED	10	books/vol05_commutative_algebra/chapters/ch16_support/chapter.tex	MAP_AND_REWRITE
V	V/17	Associated Primes	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol05_commutative_algebra/chapters/ch17_associated_primes/chapter.tex	MAP_AND_REWRITE
V	V/18	Completion and I-Adic Topology	PLANNED	LEGACY_SOURCE_IDENTIFIED	11	books/vol05_commutative_algebra/chapters/ch18_completion_and_i_adic_topology/chapter.tex	MAP_AND_REWRITE
V	V/19	Integral Dependence	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch19_integral_dependence/chapter.tex	MAP_AND_REWRITE
V	V/20	Integral Closure and Normalization	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch20_integral_closure_and_normalization/chapter.tex	MAP_AND_REWRITE
V	V/21	Valuation Rings	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol05_commutative_algebra/chapters/ch21_valuation_rings/chapter.tex	MAP_AND_REWRITE
V	V/22	Chain Complexes	PLANNED	LEGACY_SOURCE_IDENTIFIED	5	books/vol05_commutative_algebra/chapters/ch22_chain_complexes/chapter.tex	MAP_AND_REWRITE
V	V/23	Free Resolutions	PLANNED	LEGACY_SOURCE_IDENTIFIED	13	books/vol05_commutative_algebra/chapters/ch23_free_resolutions/chapter.tex	MAP_AND_REWRITE
V	V/24	Syzygies	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol05_commutative_algebra/chapters/ch24_syzygies/chapter.tex	MAP_AND_REWRITE
V	V/25	Minimal Resolutions	PLANNED	LEGACY_SOURCE_IDENTIFIED	6	books/vol05_commutative_algebra/chapters/ch25_minimal_resolutions/chapter.tex	MAP_AND_REWRITE
V	V/26	The Tor Functor	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch26_the_tor_functor/chapter.tex	MAP_AND_REWRITE
V	V/27	The Ext Functor	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch27_the_ext_functor/chapter.tex	MAP_AND_REWRITE
V	V/28	Derived-Functor Viewpoint	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol05_commutative_algebra/chapters/ch28_derived_functor_viewpoint/chapter.tex	MAP_AND_REWRITE
VI	VI/01	Algebraic Sets	DRAFTED	LEGACY_SOURCE_IDENTIFIED	4	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	SOURCE_DIFF_AND_REVIEW
VI	VI/02	The Zariski Topology	DRAFTED	LEGACY_SOURCE_IDENTIFIED	3	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	MATH_REVIEW
VI	VI/03	Coordinate Rings	DRAFTED	LEGACY_SOURCE_IDENTIFIED	3	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	MATH_REVIEW
VI	VI/04	Morphisms of Affine Algebraic Sets	DRAFTED	LEGACY_SOURCE_IDENTIFIED	3	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex	PROBLEM_ARCHITECTURE_REVIEW
VI	VI/05	Irreducibility, Components and Connectedness	DRAFTED	LEGACY_SOURCE_IDENTIFIED	6	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	PROBLEM_ARCHITECTURE_REVIEW
VI	VI/06	Prime Ideals as Geometric Points	PLANNED	LEGACY_SOURCE_IDENTIFIED	1	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_as_geometric_points/chapter.tex	MAP_AND_REWRITE
VI	VI/07	The Spectrum of a Ring	PLANNED	LEGACY_SOURCE_IDENTIFIED	7	books/vol06_algebraic_geometry/chapters/ch07_the_spectrum_of_a_ring/chapter.tex	MAP_AND_REWRITE
